boat_type,observation_version,observation_dim,action_space,reward_key,context,configured_coefficient,effective_coefficient,type,formula,applied_when
submarine,sub_duel_v3,201,[5 5 5 3 2],waypoint_reached,waypoint_reached,5.0,5.0,reward,number of waypoints reached during frame-skip * configured_coefficient,agent enters the 50 m waypoint radius; a new valid waypoint is selected immediately
submarine,sub_duel_v3,201,[5 5 5 3 2],silent_speed_ratio,mobility_curriculum_disabled,0.0,0.0,inactive,0,disabled during mobility curriculum; acoustic-speed optimization is deferred to tactical training
submarine,sub_duel_v3,201,[5 5 5 3 2],noisy_speed_ratio,mobility_curriculum_disabled,0.0,0.0,inactive,0,disabled during mobility curriculum; acoustic-speed optimization is deferred to tactical training
submarine,sub_duel_v3,201,[5 5 5 3 2],reverse_per_meter,mobility_curriculum_disabled,0.0,0.0,inactive,0,reverse_moved_m_during_frame_skip is logged but reverse is not intrinsically penalized during mobility curriculum
submarine,sub_duel_v3,201,[5 5 5 3 2],rudder_use,mobility_curriculum_disabled,0.0,0.0,inactive,0,rudder use itself is not penalized during mobility curriculum
submarine,sub_duel_v3,201,[5 5 5 3 2],rudder_without_threat,mobility_curriculum_disabled,0.0,0.0,inactive,0,disabled during mobility curriculum; islands and boundaries are valid reasons to turn without a torpedo threat
submarine,sub_duel_v3,201,[5 5 5 3 2],rudder_change,command_smoothing,-0.002,-0.002,penalty,abs(selected_rudder_ratio - previous_selected_rudder_ratio) * configured_coefficient,agent still alive after the frame-skip; applied once per policy decision
submarine,sub_duel_v3,201,[5 5 5 3 2],coastal_proximity,clearance_lt_250m,-0.05,-0.05,penalty,pow(clamp(1 - minimum_clearance_m_during_frame_skip / 250; 0; 1); 2) * configured_coefficient,agent still alive after the frame-skip; minimum clearance observed from the action-producing observation through all 5 physics ticks is below 250 m
submarine,sub_duel_v3,201,[5 5 5 3 2],coastal_proximity,clearance_ge_250m,-0.05,0.0,inactive,0,agent still alive after the frame-skip; minimum clearance observed through the frame-skip is at least 250 m
submarine,sub_duel_v3,201,[5 5 5 3 2],clearance_progress,near_obstacle,1.0,1.0,reward,"(clamp(clearance_after_m / 250; 0; 1) - clamp(clearance_before_m / 250; 0; 1)) * configured_coefficient",agent still alive after the frame-skip; min(clearance_before_m; clearance_after_m) < 250
submarine,sub_duel_v3,201,[5 5 5 3 2],clearance_progress,far_from_obstacle,1.0,0.0,inactive,0,agent still alive after the frame-skip; clearance_before_m >= 250 and clearance_after_m >= 250
submarine,sub_duel_v3,201,[5 5 5 3 2],coastal_damage,survived_frame_skip,-10.0,-10.0,penalty,"max(0; HP_before - HP_after) / max_integrity * configured_coefficient",agent still alive after the frame-skip; applies only to integrity lost from coastal or boundary damage
submarine,sub_duel_v3,201,[5 5 5 3 2],coastal_damage,sunk_during_frame_skip,-10.0,-10.0,penalty,HP_before / max_integrity * configured_coefficient,agent was removed by coastal or boundary damage during the frame-skip; charges remaining integrity fraction
submarine,sub_duel_v3,201,[5 5 5 3 2],depth_change_per_meter,mobility_curriculum_disabled,0.0,0.0,inactive,0,no depth-change penalty during mobility curriculum; depth changes remain available
submarine,sub_duel_v3,201,[5 5 5 3 2],weapon_request,mobility_curriculum_forced_none,0.0,0.0,masked,0,all nonzero weapon logits are masked during mobility curriculum; weapon action forced to none
submarine,sub_duel_v3,201,[5 5 5 3 2],weapon_without_acquisition,mobility_curriculum_forced_none,0.0,0.0,unreachable,0,weapon action is forced to none during mobility curriculum
submarine,sub_duel_v3,201,[5 5 5 3 2],lure_request,mobility_curriculum_forced_none,0.0,0.0,masked,0,lure-drop logit is masked during mobility curriculum; lure action forced to none
submarine,sub_duel_v3,201,[5 5 5 3 2],lure_without_threat,mobility_curriculum_forced_none,0.0,0.0,unreachable,0,lure action is forced to none during mobility curriculum
submarine,sub_duel_v3,201,[5 5 5 3 2],sonar_request,unreachable_in_sub_duel_v3,0.0,0.0,unreachable,0,sub_duel_v3 has no sonar action
submarine,sub_duel_v3,201,[5 5 5 3 2],stuck,terminal_stuck,-5.0,-5.0,penalty,configured_coefficient,agent still alive after the frame-skip; no displacement of at least 20 m from the current movement anchor for 10 s
submarine,sub_duel_v3,201,[5 5 5 3 2],completion,terminal_completed,5.0,5.0,reward,configured_coefficient,agent still alive after the frame-skip; simulation time reaches 600 s and stuck is false
submarine,sub_duel_v3,201,[5 5 5 3 2],decision_cost,all_decisions,-0.001,-0.001,penalty,configured_coefficient,every policy decision including a decision during which the agent sinks
